numtopics;average_topic_semdensity_for_10_topwords;model
4;0.373943132606;Only Nouns 300-100
5;0.382829617555;Only Nouns 300-100
6;0.372354158318;Only Nouns 300-100
7;0.359694327999;Only Nouns 300-100
8;0.341602618118;Only Nouns 300-100
9;0.363548919095;Only Nouns 300-100
10;0.346742101662;Only Nouns 300-100
