Year;Probability;Topic
1871;48.21;Topic4
1871;20.35;Topic5
1868;13.27;Topic0
1868;0.01;Topic1
1868;8.36;Topic2
1868;76.06;Topic3
1868;1.48;Topic4
1868;0.82;Topic5
1800;4.2;Topic0
1800;37.08;Topic1
1800;1.33;Topic2
1800;35.78;Topic3
1800;10.4;Topic4
1800;11.21;Topic5
1873;0.31;Topic0
1873;58.36;Topic1
1873;0.74;Topic2
1873;31.94;Topic3
1873;8.62;Topic4
1873;0.02;Topic5
1771;0.03;Topic0
1771;8.76;Topic1
1771;0.03;Topic2
1771;91.12;Topic3
1771;0.03;Topic4
1771;0.03;Topic5
1831;3.2;Topic0
1831;35.23;Topic1
1831;4.29;Topic2
1831;47.53;Topic3
1831;0.13;Topic4
1831;9.61;Topic5
1837;6.48;Topic0
1837;36.33;Topic1
1837;7.37;Topic2
1837;12.3;Topic3
1837;24.87;Topic4
1837;12.64;Topic5
1789;76.8;Topic0
1789;16.96;Topic1
1789;0.07;Topic2
1789;0.07;Topic3
1789;6.04;Topic4
1789;0.07;Topic5
1788;0.05;Topic0
1788;51.69;Topic1
1788;15.88;Topic2
1788;20.18;Topic3
1788;5.12;Topic4
1788;7.08;Topic5
1892;19.75;Topic0
1892;0.12;Topic1
1892;0.12;Topic2
1892;0.12;Topic3
1892;11.76;Topic4
1892;68.14;Topic5
1815;2.1;Topic0
1815;88.71;Topic1
1815;9.13;Topic2
1815;0.02;Topic3
1815;0.02;Topic4
1815;0.02;Topic5
1818;16.83;Topic0
1818;73.14;Topic1
1818;8.2;Topic2
1818;0.43;Topic3
1818;1.09;Topic4
1818;0.3;Topic5
1870;18.7;Topic0
1870;0.01;Topic1
1870;3.32;Topic2
1870;77.94;Topic3
1870;0.01;Topic4
1870;0.01;Topic5
1851;6.43;Topic0
1851;11.51;Topic1
1851;0.08;Topic2
1851;0.08;Topic3
1851;42.4;Topic4
1851;39.5;Topic5
1750;0.02;Topic0
1750;0.02;Topic1
1750;0.24;Topic2
1750;99.68;Topic3
1750;0.02;Topic4
1750;0.02;Topic5
1906;0.22;Topic0
1906;39.27;Topic1
1906;0.22;Topic2
1906;20.26;Topic3
1906;0.22;Topic4
1906;39.81;Topic5
1926;0.03;Topic0
1926;3.01;Topic1
1926;0.03;Topic2
1926;13.16;Topic3
1926;4.26;Topic4
1926;79.5;Topic5
1889;26.19;Topic0
1889;18.27;Topic1
1889;2.1;Topic2
1889;9.09;Topic3
1889;20.24;Topic4
1889;24.11;Topic5
1911;0.26;Topic0
1911;38.84;Topic1
1911;0.26;Topic2
1911;43.61;Topic3
1911;0.26;Topic4
1911;16.76;Topic5
1900;0.04;Topic0
1900;41.04;Topic1
1900;0.04;Topic2
1900;0.04;Topic3
1900;24.05;Topic4
1900;34.8;Topic5
1782;72.96;Topic0
1782;7.82;Topic1
1782;5.96;Topic2
1782;0.02;Topic3
1782;3.31;Topic4
1782;9.94;Topic5
1878;1.88;Topic0
1878;21.28;Topic1
1878;0.03;Topic2
1878;0.03;Topic3
1878;19.68;Topic4
1878;57.1;Topic5
1932;4.69;Topic0
1932;0.04;Topic1
1932;0.04;Topic2
1932;35.61;Topic3
1932;49.1;Topic4
1932;10.53;Topic5
1866;14.07;Topic0
1866;0.01;Topic1
1866;1.1;Topic2
1866;75.0;Topic3
1866;5.25;Topic4
1866;4.57;Topic5
1896;0.03;Topic0
1896;34.54;Topic1
1896;9.37;Topic2
1896;0.03;Topic3
1896;20.16;Topic4
1896;35.87;Topic5
1869;13.8;Topic0
1869;0.03;Topic1
1869;0.03;Topic2
1869;30.48;Topic3
1869;8.56;Topic4
1869;47.09;Topic5
