numtopics;average_topic_semdensity_for_10_topwords;model
5;0.37308833158890264;POS restriction 700-200-word chunks
6;0.37012801462562045;POS restriction 700-200-word chunks
7;0.36715400687107974;POS restriction 700-200-word chunks
8;0.3540516825251483;POS restriction 700-200-word chunks
9;0.3638539226495858;POS restriction 700-200-word chunks
10;0.34365937317276113;POS restriction 700-200-word chunks
11;0.34044632889984033;POS restriction 700-200-word chunks
12;0.3374008074263475;POS restriction 700-200-word chunks
13;0.3185072177580309;POS restriction 700-200-word chunks
14;0.3334182172057269;POS restriction 700-200-word chunks
15;0.324369011122011;POS restriction 700-200-word chunks
5;0.35115001075614966;ONLY NOUNS 500-100-word chunk
6;0.36383460749022917;ONLY NOUNS 500-100-word chunk
7;0.36929130848208364;ONLY NOUNS 500-100-word chunk
8;0.34356868173477473;ONLY NOUNS 500-100-word chunk
9;0.35231554390276965;ONLY NOUNS 500-100-word chunk
10;0.33240104043281493;ONLY NOUNS 500-100-word chunk
11;0.34427799219397126;ONLY NOUNS 500-100-word chunk
12;0.35247338609084516;ONLY NOUNS 500-100-word chunk
13;0.3556334924326654;ONLY NOUNS 500-100-word chunk
14;0.33569824138126403;ONLY NOUNS 500-100-word chunk
15;0.3279920722934404;ONLY NOUNS 500-100-word chunk
5;0.3473272238898322;ONLY NOUNS 300-100-word chunk
6;0.34813460018392556;ONLY NOUNS 300-100-word chunk
7;0.34640279712220934;ONLY NOUNS 300-100-word chunk
8;0.33319204795046375;ONLY NOUNS 300-100-word chunk
9;0.3369747138820679;ONLY NOUNS 300-100-word chunk
10;0.32947867135462744;ONLY NOUNS 300-100-word chunk
11;0.31245940873466;ONLY NOUNS 300-100-word chunk
12;0.31872409946539154;ONLY NOUNS 300-100-word chunk
13;0.3178009726343305;ONLY NOUNS 300-100-word chunk
14;0.31675159989361984;ONLY NOUNS 300-100-word chunk
15;0.320718939515055;ONLY NOUNS 300-100-word chunk
5;0.3674664078035907;ONLY NOUNS 400-100-word chunk
6;0.37404224765270006;ONLY NOUNS 400-100-word chunk
7;0.3868552125118773;ONLY NOUNS 400-100-word chunk
8;0.3588834514610555;ONLY NOUNS 400-100-word chunk
9;0.3526581544215308;ONLY NOUNS 400-100-word chunk
10;0.352934970398568;ONLY NOUNS 400-100-word chunk
11;0.35538574930348793;ONLY NOUNS 400-100-word chunk
12;0.34504932007966166;ONLY NOUNS 400-100-word chunk
13;0.3323079538896843;ONLY NOUNS 400-100-word chunk
14;0.3496818611944859;ONLY NOUNS 400-100-word chunk
15;0.3371982651933555;ONLY NOUNS 400-100-word chunk
5;0.36929403780098374;POS restriction 400-100-word chunks
6;0.34068001388314073;POS restriction 400-100-word chunks
7;0.3544105587720919;POS restriction 400-100-word chunks
8;0.32624657831032844;POS restriction 400-100-word chunks
9;0.3455815677399538;POS restriction 400-100-word chunks
10;0.333109369049349;POS restriction 400-100-word chunks
11;0.35027989545682536;POS restriction 400-100-word chunks
12;0.35948996901893676;POS restriction 400-100-word chunks
13;0.3450830312145741;POS restriction 400-100-word chunks
14;0.34624081418419006;POS restriction 400-100-word chunks
15;0.32641234631401445;POS restriction 400-100-word chunks
5;0.3622916243575672;POS restriction 500-100-word chunks
6;0.35758257795319964;POS restriction 500-100-word chunks
7;0.3674175829179815;POS restriction 500-100-word chunks
8;0.3566822287504981;POS restriction 500-100-word chunks
9;0.3553187855794524;POS restriction 500-100-word chunks
10;0.3502346322099849;POS restriction 500-100-word chunks
11;0.3457120021704237;POS restriction 500-100-word chunks
12;0.34134286012320053;POS restriction 500-100-word chunks
13;0.3418005164924474;POS restriction 500-100-word chunks
14;0.34080387279884583;POS restriction 500-100-word chunks
15;0.3394811192632009;POS restriction 500-100-word chunks
5;0.34721332861762605;POS restriction 600-100-word chunks
6;0.34614460680409825;POS restriction 600-100-word chunks
7;0.362643039133233;POS restriction 600-100-word chunks
8;0.3529769261588905;POS restriction 600-100-word chunks
9;0.3375928316135545;POS restriction 600-100-word chunks
10;0.3486256808551492;POS restriction 600-100-word chunks
11;0.3663541826398713;POS restriction 600-100-word chunks
12;0.34814126377546595;POS restriction 600-100-word chunks
13;0.33642794843674534;POS restriction 600-100-word chunks
14;0.3433891582253409;POS restriction 600-100-word chunks
15;0.3327309394062832;POS restriction 600-100-word chunks
